Sepal_Uzunlugu	Sepal_Genisligi	Petal_Uzunlugu	Petal_Genisligi	Tur
6.5	3	5.2	2	virginica
6.4	2.9	4.3	1.3	versicolor
6.1	3	4.6	1.4	versicolor
5.2	4.1	1.5	0.1	setosa
6.6	3	4.4	1.4	versicolor
4.9	3.1	1.5	0.1	setosa
6.7	3	5.2	2.3	virginica
5.5	2.5	4	1.3	versicolor
6.9	3.1	5.1	2.3	virginica
5.5	2.4	3.7	1	versicolor
5.4	3	4.5	1.5	versicolor
5.7	3	4.2	1.2	versicolor
6.8	3	5.5	2.1	virginica
6.4	2.8	5.6	2.1	virginica
5.4	3.4	1.7	0.2	setosa
5.9	3.2	4.8	1.8	versicolor
6.2	2.8	4.8	1.8	virginica
4.8	3.1	1.6	0.2	setosa
4.8	3	1.4	0.1	setosa
5.9	3	5.1	1.8	virginica
6.7	2.5	5.8	1.8	virginica
5.4	3.7	1.5	0.2	setosa
5.8	2.6	4	1.2	versicolor
5.4	3.7	1.5	0.2	setosa
4.9	2.4	3.3	1	versicolor
6.9	3.1	4.9	1.5	versicolor
6.8	3.2	5.9	2.3	virginica
6.3	2.3	4.4	1.3	versicolor
5.1	3.8	1.9	0.4	setosa
4.7	3.2	1.6	0.2	setosa
5.2	4.1	1.5	0.1	setosa
6.3	2.5	5	1.9	virginica
5.7	2.8	4.1	1.3	versicolor
6.9	3.2	5.7	2.3	virginica
4.4	3	1.3	0.2	setosa
7.7	2.6	6.9	2.3	virginica
5.5	2.4	3.8	1.1	versicolor
7	3.2	4.7	1.4	versicolor
5.9	3	5.1	1.8	virginica
4.4	3	1.3	0.2	setosa
7.2	3.2	6	1.8	virginica
7.2	3.2	6	1.8	virginica
7.7	3.8	6.7	2.2	virginica
6.1	3	4.6	1.4	versicolor
6	3	4.8	1.8	virginica
4.4	3.2	1.3	0.2	setosa
5.4	3.4	1.7	0.2	setosa
5.1	3.8	1.6	0.2	setosa
7.2	3.6	6.1	2.5	virginica
5	3.2	1.2	0.2	setosa
