GSM947269	GSM947270	GSM947271	GSM947272	GSM947273	GSM947274	GSM947275	GSM947276	GSM947277	GSM947278	GSM947279	GSM947280	GSM947281	GSM947282	GSM947283	GSM947284	GSM947285	GSM947286	GSM947287	GSM947288	GSM947289	GSM947290	GSM947291	GSM947292	GSM947293	GSM947294	GSM947295	GSM947296	GSM947297	GSM947298	GSM947299	GSM947300	GSM947301	GSM947302	GSM947303	GSM947304	GSM947305	GSM947306	GSM947307	GSM947308	GSM947309	GSM947310	GSM947311	GSM947312	GSM947313
PML-17461	12.5365	44.0091	7.58783	20.432	13.4728	13.3874	8.37875	8.85999	31.3942	73.2947	6.12001	22.8628	5.58876	12.8073	18.4605	4.87055	26.7912	18.9037	27.8109	22.5153	33.6402	267.677	80.7352	186.761	83.3809	26.5963	27.6266	29.3674	79.0847	15.4234	146.718	11.3969	46.6547	29.7863	15.0014	122.553	49.0612	34.0624	46.8653	47.6533	26.8932	61.2485	82.5753	43.9231	52.8446
IPO7-7632	7865.12	5888.24	4912.68	5544.49	4443.66	6221.24	5778.21	4917.45	4857.21	4360.99	6125.44	3564.17	4092.62	7262.24	2892.85	4563.67	6280.01	7007.09	4995.34	3230.46	5592.14	2985.52	1680.66	3273.93	5055.56	7947.69	5533.67	6141.64	1857.98	2924.32	2303.29	5741.87	5779.29	9892.3	9301.63	3953.5	2076.5	6206.86	2112.26	3828.37	5385.41	5139.85	1257.53	5643.67	1947.58
TXLNG-3439	264.298	433.255	335.327	262.289	232.384	244.623	270.668	246.692	482.935	316.901	386.535	356.95	228.36	498.098	325.101	407.636	375.006	303.022	204.574	273.795	142.974	227.087	403.6	113.809	269.321	305.462	229.098	123.115	327.603	214.394	281.405	282.048	254.684	116.682	163.411	336.674	87.7372	248.701	178.433	264.984	252.572	229.186	487.502	222.889	340.617
OLAH-28235	156.548	10.7716	50.0952	195.11	146.078	35.3872	29.2172	72.5012	99.2417	15.3925	13.114	192.841	26.9362	23.5995	165.536	7.3062	13.177	15.3854	44.8891	42.9673	70.0678	93.9909	117.895	288.08	691.892	310.837	128.434	132.635	479.594	339.598	167.92	136.147	43.8596	101.92	85.4327	53.5785	118.509	18.0069	59.1485	57.8578	21.2772	13.4976	29.9216	40.4777	116.633
VPS53-27094	80.4704	45.7029	89.4783	357.629	361.289	262.751	70.5983	182.037	214.047	201.236	74.9684	293.525	112.828	103.03	256.238	83.3547	73.2407	93.5504	100.603	42.7593	72.0969	43.6102	563.741	79.7295	363.574	19.2407	164.115	416.388	582.243	452.479	587.601	399.02	353.307	384.236	212.943	98.1377	357.926	37.9358	134.278	559.993	20.2429	217.018	501.662	58.0384	470.116
ST8SIA4-1541	72.7781	3.81827	7.40108	68.4264	3.30014	170.306	56.7351	7.52991	12.1389	5.44051	43.3743	8.89981	119.327	5.6541	126.145	44.7679	49.0116	22.8515	139.76	57.3717	64.5785	136.514	224.099	167.197	386.223	199.817	169.578	21.1259	67.8415	233.936	172.494	241.037	14.1098	87.4314	198.098	90.5797	16.5174	58.7472	84.2431	209.116	117.459	128.055	21.6056	196.215	22.2777
RALBP1-9479	672.773	957.025	1832.8	514.433	4173.79	608.19	2048.3	2574.72	1295.04	1428.79	1701.98	1881.76	1462.37	361.701	1525.57	771.604	968.232	406.19	380.898	785.112	831.462	1279.24	1157.27	964.046	1281.79	995.836	522.469	2620.52	5082.1	1578.64	5111.42	1238.43	2509.83	1452.88	1147.99	901.272	861.891	269.771	271.859	149.211	383.421	70.0203	203.084	54.1756	254.898
NRXN1-33578	5.65903	23.1987	72.2549	152.279	185.609	114.069	84.4429	121.563	121.05	63.8256	35.816	14.0943	56.7124	86.2013	14.5043	19.3115	52.3949	90.1882	11.0106	15.0452	9.67879	17.9532	208.037	28.1789	58.4191	18.9469	31.5878	65.8537	16.7483	244.432	5.06527	18.6039	49.7415	9.35315	11.0482	75.7466	24.4411	67.791	134.84	212.236	62.6524	16.4745	19.6771	16.803	13.6546
INPP4A-14897	7.75731	23.9419	23.6105	39.8242	141.078	21.6337	78.663	25.143	11.669	67.7198	21.8564	48.1962	43.0024	26.3971	21.1931	83.0294	8.43054	19.8128	22.7358	53.3485	19.6627	20.7458	53.2862	28.9734	696.061	221.643	21.9169	49.2782	12.1977	58.2164	254.283	5.95973	45.7475	13.9656	12.3382	44.318	59.8489	44.4512	93.2838	60.2048	38.718	43.0011	62.692	48.1958	61.5927
SPCS2P4-7876	1115.95	1416.22	2001.3	1767.63	1949.26	1542.12	1831.19	1669.8	2214.85	3896.53	2001.84	2227.24	4281.93	3404.97	2474.55	2678.32	2334.66	3826.46	2862.43	1577.02	1993.98	1691.81	470.466	2364.72	717.259	1506.23	2238.49	2695.01	1698.92	1308.31	2609.82	2151.47	1267.27	931.46	1799.55	427.778	225.127	1293.82	431.251	1886.92	10487.7	1401.68	81.7874	904.835	1182.67
