"Samples"	"Condition"
"GSM947269"	"GSM947269"	"control"
"GSM947270"	"GSM947270"	"control"
"GSM947271"	"GSM947271"	"control"
"GSM947272"	"GSM947272"	"control"
"GSM947273"	"GSM947273"	"control"
"GSM947274"	"GSM947274"	"control"
"GSM947275"	"GSM947275"	"control"
"GSM947276"	"GSM947276"	"control"
"GSM947277"	"GSM947277"	"control"
"GSM947278"	"GSM947278"	"control"
"GSM947279"	"GSM947279"	"control"
"GSM947280"	"GSM947280"	"control"
"GSM947281"	"GSM947281"	"control"
"GSM947282"	"GSM947282"	"control"
"GSM947283"	"GSM947283"	"control"
"GSM947284"	"GSM947284"	"control"
"GSM947285"	"GSM947285"	"control"
"GSM947286"	"GSM947286"	"control"
"GSM947287"	"GSM947287"	"control"
"GSM947288"	"GSM947288"	"control"
"GSM947289"	"GSM947289"	"disease"
"GSM947290"	"GSM947290"	"disease"
"GSM947291"	"GSM947291"	"disease"
"GSM947292"	"GSM947292"	"disease"
"GSM947293"	"GSM947293"	"disease"
"GSM947294"	"GSM947294"	"disease"
"GSM947295"	"GSM947295"	"disease"
"GSM947296"	"GSM947296"	"disease"
"GSM947297"	"GSM947297"	"disease"
"GSM947298"	"GSM947298"	"disease"
"GSM947299"	"GSM947299"	"disease"
"GSM947300"	"GSM947300"	"disease"
"GSM947301"	"GSM947301"	"disease"
"GSM947302"	"GSM947302"	"disease"
"GSM947303"	"GSM947303"	"disease"
"GSM947304"	"GSM947304"	"disease"
"GSM947305"	"GSM947305"	"disease"
"GSM947306"	"GSM947306"	"disease"
"GSM947307"	"GSM947307"	"disease"
"GSM947308"	"GSM947308"	"disease"
"GSM947309"	"GSM947309"	"disease"
"GSM947310"	"GSM947310"	"disease"
"GSM947311"	"GSM947311"	"disease"
"GSM947312"	"GSM947312"	"disease"
"GSM947313"	"GSM947313"	"disease"
