tarih toplam_vaka gun
2019-12-31 27 1
2020-01-01 27 2
2020-01-02 27 3
2020-01-03 44 4
2020-01-04 44 5
2020-01-05 59 6
2020-01-06 59 7
2020-01-07 59 8
2020-01-08 59 9
2020-01-09 59 10
2020-01-10 59 11
2020-01-11 59 12
2020-01-12 59 13
2020-01-13 60 14
2020-01-14 60 15
2020-01-15 61 16
2020-01-16 61 17
2020-01-17 66 18
2020-01-18 83 19
2020-01-19 219 20
2020-01-20 239 21
2020-01-21 392 22
2020-01-22 534 23
2020-01-23 631 24
2020-01-24 897 25
2020-01-25 1350 26
2020-01-26 2023 27
2020-01-27 2820 28
2020-01-28 4587 29
2020-01-29 6067 30
2020-01-30 7823 31
2020-01-31 9826 32
2020-02-01 11946 33
2020-02-02 14554 34
2020-02-03 17372 35
2020-02-04 20615 36
2020-02-05 24522 37
2020-02-06 28273 38
2020-02-07 31491 39
2020-02-08 34933 40
2020-02-09 37552 41
2020-02-10 40540 42
2020-02-11 43105 43
2020-02-12 45177 44
2020-02-13 60328 45
2020-02-14 64543 46
2020-02-15 67103 47
2020-02-16 69265 48
2020-02-17 71332 49
2020-02-18 73327 50
2020-02-19 75191 51
2020-02-20 75723 52
2020-02-21 76719 53
2020-02-22 77804 54
2020-02-23 78812 55
2020-02-24 79339 56
2020-02-25 80132 57
2020-02-26 80995 58
2020-02-27 82101 59
2020-02-28 83365 60
2020-02-29 85203 61
2020-03-01 87026 62
2020-03-02 89068 63
2020-03-03 90865 64
2020-03-04 93077 65
2020-03-05 95316 66
2020-03-06 98172 67
2020-03-07 102133 68
2020-03-08 105824 69
2020-03-09 109695 70
2020-03-10 114235 71
2020-03-11 118613 72
2020-03-12 125497 73
2020-03-13 133853 74
2020-03-14 143259 75
2020-03-15 154774 76
2020-03-16 167418 77
2020-03-17 180094 78
2020-03-18 194843 79
2020-03-19 213149 80
2020-03-20 242374 81
2020-03-21 271116 82
2020-03-22 305235 83
2020-03-23 338235 84
2020-03-24 377968 85
2020-03-25 416881 86
2020-03-26 468092 87
2020-03-27 527839 88
2020-03-28 591796 89
2020-03-29 656834 90
2020-03-30 715377 91
2020-03-31 777187 92
2020-04-01 851587 93
2020-04-02 928491 94
2020-04-03 1006063 95
2020-04-04 1087822 96
2020-04-05 1174306 97
2020-04-06 1245601 98
2020-04-07 1316988 99
2020-04-08 1391881 100
2020-04-09 1476792 101
2020-04-10 1563819 102
2020-04-11 1653160 103
2020-04-12 1734868 104
2020-04-13 1807256 105
2020-04-14 1873639 106
2020-04-15 1953786 107
2020-04-16 2033745 108
2020-04-17 2117297 109
2020-04-18 2199460 110
2020-04-19 2278484 111
2020-04-20 2350993 112
2020-04-21 2427353 113
2020-04-22 2513399 114
2020-04-23 2579823 115
2020-04-24 2657910 116
2020-04-25 2731217 117
2020-04-26 2832750 118
2020-04-27 2915977 119
2020-04-28 2981544 120
2020-04-29 3054406 121
2020-04-30 3131489 122
2020-05-01 3215962 123
2020-05-02 3308966 124
2020-05-03 3389549 125
2020-05-04 3467563 126
2020-05-05 3544222 127
