Sample-768 Sample-770 Sample-772 Sample-774 Sample-776 Sample-778 Sample-769 Sample-771 Sample-773 Sample-775 Sample-777 Sample-779
213232_at 3.26473927632978 3.04238982825918 3.25836900093605 3.24164202552157 3.22691006124339 3.04238982825918 3.01748097447218 2.9402652136245 3.84734131038492 3.07007394682038 3.08212394121817 3.03235890733677
240972_at 2.41098239101907 2.40558050919649 2.34585595500142 2.45467133247848 2.53266106246588 2.38190607635182 2.22242199306188 2.23587884562554 2.58427343970484 2.32791489882717 2.2678004197158 2.41833812713045
205779_at 4.60631584349492 5.01044476528001 4.22876480000768 5.21382074057204 5.46012986117115 4.44334718305204 4.05185067321367 4.29249668927723 4.84451001230923 4.96237180538552 4.18094309087602 3.89977108774432
208900_s_at 8.12491120028993 7.51246995484547 8.41438061488876 5.36755363604087 7.64074468090526 7.55598818298785 7.22682939781426 4.61598688114886 8.10117841112253 7.76569640874626 6.56173190365088 7.11507439199754
244087_at 5.51370037678934 5.6274736792951 5.69704177455133 5.73947441651714 5.45909301453686 5.87777021287589 5.73066770505072 5.39558921292344 6.18250512850761 5.92900987642517 5.20375186272789 6.14339762186165
244524_at 8.27369316311137 3.97913547576846 5.77185405208548 4.4268970943253 5.67271936729547 5.94563706754173 6.14132209307644 4.2866879734042 6.20069173632226 4.7281117227191 5.3690149109726 5.837363187307
211572_s_at 2.91107736271458 3.04864739086847 3.25911489439671 3.94423897686709 3.26447203729028 3.23609894141512 3.24884943804361 2.67645543333455 3.65417715472459 3.1939382055139 3.55848329762026 4.00095209947962
206272_at 5.29030123356883 5.52867622137328 3.84956295109197 5.33437652179335 4.65202312611182 5.31835902413678 6.20877712897499 5.95296979768417 3.4694330996826 4.83287020482179 5.51543643455593 4.90290752511612
225357_s_at 5.17788973854324 5.41859157172668 5.30845429759909 5.27452286337729 4.78250984070925 5.22692917299303 5.24542030497076 5.08145928502675 5.14218107250575 5.18444673923264 5.70497663110761 4.78250984070925
220870_at 3.33999818623701 3.55573390677117 3.6348686764668 3.99279895993166 3.76933229042575 3.23613069461401 3.60067738924791 3.51076896867439 4.02337795406044 3.96564729120625 3.32553339912243 4.26174094480435
203148_s_at 8.14383269091791 6.57456196657047 5.75516405639199 7.73825886994359 5.79559625415611 7.29905898211214 8.03748933523682 6.19823879426778 7.32951533901294 8.92464106209727 8.51457907565768 9.48869776470518
216257_at 3.29036811084855 2.74917651085622 3.35663265516166 2.84224773214591 3.36314730201818 3.21472513995781 2.97822756135436 3.25058703381055 2.88198062987001 3.33911507095697 3.15730905962903 3.43099395363336
210504_at 2.73471619223496 2.77024764395946 2.75629043749274 2.74533718478708 2.68203012158646 2.65564717999313 2.73471619223496 2.78101187783011 3.44451467941584 2.73471619223496 2.85080303304471 2.39114325904964
1552496_a_at 2.72543524669141 2.72787292448628 2.89313323684349 2.52352629361657 2.42272357149828 2.80382123630794 2.41587224290318 3.00011701215183 3.63407382982802 2.62916103447574 2.37125512467728 2.57894415135168
1554666_at 4.32285242544347 3.77735959711628 3.74652597323497 4.01922547205439 3.72807044943353 3.78041330494691 3.59985791065119 3.56387620626881 4.44607277100477 3.54449467679426 3.51493220660809 3.46667715721573
1558477_at 2.90208969958425 2.84077887786069 3.12772940893208 3.21226283443192 3.01563838867219 2.90469023851366 2.90045968806979 3.24455288476767 3.12553370892288 3.07940920139233 2.50851868680154 3.09502628554902
217580_x_at 3.68770091430231 3.38079747421601 3.22094566247367 3.44016125692941 3.34528381609173 3.02564225169683 3.14287544175174 3.64805931670768 3.62727641144468 3.3105979432729 3.40080051964586 3.30842151188005
241264_at 2.43760673411917 2.34489434458167 3.2024766143734 2.37606819181236 2.3659070901526 2.3299433597945 2.22544783397408 2.50410407451897 2.54078705845787 2.43121266387186 2.44144140583904 2.35438983614399
1568981_at 2.61130386509098 2.45759298105444 2.27082071918215 2.33604089481916 2.47608642249124 2.28065833336018 2.16065191224218 2.49607801313821 2.59589791297017 2.59887227491419 2.47623335717731 2.55045638833498
214715_x_at 10.384244725748 10.6067349156768 11.4555893671172 10.9093420302444 10.8073389759116 10.2061247529259 10.1577810288011 10.7402002940605 10.7583703711205 10.1402977322091 9.65390357415051 10.1600880032089
1556300_s_at 6.42122736432045 3.76538966173618 3.70476195030592 2.07635924070463 3.11023822642479 4.30430403487995 4.04288626190684 1.86377571281068 1.67780354148535 1.80293588240258 2.14394125433078 2.49516403703824
214912_at 2.75924033326326 2.58983443041741 2.85595802825181 2.90171753414229 2.68797854297503 2.68647440253501 2.78725067293019 3.00474612711554 3.35052498856159 2.94659624348654 2.35719689795306 2.54234902596079
1569719_at 2.138299927371 1.93488125771683 1.9218886818032 1.85219814864037 1.96309536127836 1.91076839520858 2.01999059489623 1.96500519502862 2.0268085281189 1.94649474544631 1.92645397991822 1.9325657626656
1560525_at 5.27431355999857 4.25533670859363 4.92462918291951 4.5908042407488 3.88016425869915 3.29387146915276 3.32273195230807 3.41429625920518 4.18773988901551 4.49261905292463 2.91156874789308 3.58070247079246
241297_at 2.08410823996196 2.52032976720736 2.64551796810357 3.17313885776301 2.56998780915869 2.40280003895669 2.03573001775701 2.15090011600439 2.54782157299083 2.56998780915869 2.36745147468004 2.17246291383364
211172_x_at 5.94535205400452 5.94324069714189 6.19381060204785 5.84921566930266 6.00629673890734 5.73819607118689 5.63836480092101 6.10337462939334 6.59362704372001 5.84930046247935 5.7849055019156 5.74521195333361
210885_s_at 3.44962904951296 3.49933514025531 4.0523262282304 3.33101824126452 3.53963342354346 3.51718076972336 3.38709051791873 3.87756244070377 4.09941723352131 4.06740111322981 4.08119828161467 3.5276114077227
232208_at 4.46830573860159 4.40952552935664 4.94505687710319 4.48560861211011 5.10883124954426 4.91084387368074 4.33434506424343 3.97213978816251 4.86972455154014 5.41307450096325 3.99013183621845 4.28805873852454
220620_at 2.39307278101796 2.51657476025729 2.48193871281091 2.1700682345056 2.66243298487371 2.32360932937661 2.38188662059196 2.42015461836093 2.67965464936621 2.43807192702377 2.54078705845787 2.24997391578147
206799_at 2.85280844299176 7.37779154063629 2.66657060577166 2.45648939959099 5.18866160910058 7.90218224337908 2.70220170073111 3.0534798631448 9.71366615480544 2.51059187160196 8.59541978603782 2.29825396126284
230507_at 3.19762750228806 3.41140070779871 2.75741228650957 2.66452995541603 2.9961812431386 2.85718408730091 2.85193071905525 3.37874202687672 3.92713979337527 3.2226500963903 3.03402262912228 2.98009184645243
