Inokulasyondan_sonra_gecen_sure	Kulturleme_kosulu	Patojen	Bitki_numarasi	Tekil_bitki_numarasi	Gozlem	Fotosentez	Iletkenlik
3	Kurak	Kontrol	9	1	4	-1.63052242169	-5.38770501919109
3	Kurak	Kontrol	9	1	5	0.123596623072777	-4.7810338797386
3	Kurak	Kontrol	9	1	6	0.398304036060076	-4.540289504644
3	Kurak	Kontrol	9	1	7	0.25897789796438	-4.43934926905611
3	Kurak	Kontrol	9	1	8	0.433375225802339	-4.43887291840797
3	Kurak	Kontrol	9	1	9	0.484733503155962	-4.39785077864077
3	Kurak	Kontrol	9	1	10	0.477026211839385	-4.35133464948401
3	Kurak	Kontrol	9	1	11	0.593873922675425	-4.27891222362147
3	Kurak	Kontrol	9	1	12	1.18091345671439	-4.07607110350847
3	Kurak	Kontrol	9	1	13	0.695102786615312	-4.07290703680635
3	Kurak	Kontrol	9	1	14	0.470553176342066	-4.72260204581393
3	Nemli	Kontrol	4	2	1	1.14724444035423	-2.90499582825427
3	Nemli	Kontrol	4	2	2	1.35331269630473	-2.8903540020538
3	Nemli	Kontrol	4	2	3	1.31524772835828	-2.84895945188403
3	Nemli	Kontrol	4	2	4	1.30279373096766	-2.78498103069471
3	Nemli	Kontrol	4	2	5	1.4063434350064	-2.71983640634195
3	Nemli	Kontrol	4	2	6	1.64696062036905	-2.92168350600997
3	Nemli	Kontrol	4	2	7	1.62654533032605	-2.55558143776098
3	Nemli	Kontrol	4	2	8	1.75344883163036	-2.47393714342118
3	Nemli	Kontrol	4	2	9	1.76782131045748	-2.3634095810324
3	Nemli	Kontrol	4	2	10	1.87788309795244	-2.36535730297801
3	Nemli	Kontrol	4	2	11	2.04207087807904	-2.75949728626232
3	Nemli	Kontrol	4	2	12	2.02034874854579	-2.25298957701698
3	Nemli	Kontrol	4	2	13	2.08523251135104	-2.19188482323245
3	Nemli	Kontrol	4	2	14	2.15423587330642	-2.12283726205956
3	Nemli	Kontrol	4	2	15	2.2138251539058	-2.10546085514875
3	Nemli	Kontrol	4	2	16	2.20096831557271	-2.09619983678131
9	Kurak	P. multivora 	1	3	1	0.136214984568444	-7.80430711108086
9	Kurak	P. multivora 	1	3	2	-0.195485655378954	-7.69576274056604
9	Kurak	P. multivora 	1	3	3	-0.176403569475929	-7.30328985841339
