SRR5892193	SRR5892194	SRR5892196	SRR5892197	SRR5892198	SRR5892199	SRR5892201	SRR5892202	SRR5892203	SRR5892206	SRR5892208	SRR5892209	SRR5892210	SRR5892211	SRR5892212	SRR5892213	SRR5892214	SRR5892215	SRR5892216	SRR5892217	SRR402990	SRR402991
Abiotrophia_defectiva	0.000222322391320436	0.000669454148409043	0.00237330255461277	0.000134752062386496	0.000117950284749791	0.000135349151974772	0.000813394965359056	0.000277099779749929	0.00198539446147306	0.000141596766983585	0.00930708830712197	0.00113121311192669	0.000530867368781574	0.00021478621036125	0.000193795241206906	0.001040365782779	0.000643872920754519	0.000682705827214498	0.000165749358794313	0.000211687277087949	0.00200827994749302	0.00412956484735394
Achromobacter_xylosoxidans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.94510327495484e-05	0
Acidovorax_caeni	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidovorax_temperans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.59613774805858e-05
Acinetobacter_baumannii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter_johnsonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000421547258244645
Acinetobacter_junii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.39313377432637e-05
Acinetobacter_radioresistens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_cardiffensis	0.00028776529605575	7.04990241903359e-05	0.00019739964278777	0.0017567218408368	0.000143384308415514	0.00123628194484173	6.7517514743978e-05	7.55726672045262e-05	0.000411551015931773	8.80863608560677e-05	7.492580716269e-05	0.000103265770947824	0.000219669256047548	0.000114673993667447	3.99276627612219e-05	0.00012328744118759	6.76743310102347e-05	0.00019996875488205	0.000170812088212997	0.000119918590478014	0.000107987120081678	0
Actinomyces_dentalis	0.000350761737062641	0.0056989577034513	0.00205602093698129	0.0320623370458145	0.000868253982888625	0.00841815911199793	0.0325587290910678	0.000681515674520097	0.0283291820197431	0.00846616948639066	0.000916483786163918	0.000101091754717343	0.000583127393405789	0.00082410556560217	0.000370061264616203	0.000499703249996211	0.000805517894253251	0.00175003905639744	0.022049507330392	0.000182411377065147	0.000309937058935724	0.000233748953623808
Actinomyces_gerencseriae	0.000399079395698994	0.0011251185730539	0.000231651635600259	0.00208803883826415	0.000396134918593638	0.00475047616389806	0.0117467736500797	0.000623644713147261	0.00187006972623943	0.00254050943553107	0.00107719421312157	0.000321392066072701	0.000689418968912667	0.000353578147141296	0.00994296187297744	0.00155481437457838	0.000631498185941218	0.000661146695828777	0.00101914944384817	0.000257290121354236	0.000176004981431825	7.99141721790797e-05
Actinomyces_graevenitzii	0.0110470069656939	0.0164790036137914	0.00384343414085411	0.0101472011749391	0.029971771412984	0.00747280807629785	0.0472304124364714	0.0189408252399092	0.00863013435331655	0.0336448736619311	0.00707885995497936	0.00985336622861447	0.0320852930842567	0.0045992462460194	0.00701753019164304	0.0118400998751151	0.0108588297986708	0.0074344633650992	0.0233622950805238	0.0147747585441996	0.000401095017446231	0.00149039931113984
Actinomyces_israelii	0.000120182530658778	0.0027746811065481	0.0003015076735731	0.00510821579615598	0.000247663805444979	0.00174488777880879	0.00987539196783619	0.000177017058316908	0.00248061244218217	0.0030764367338236	0.000340966716653401	9.78307303716227e-05	0.000176562117091981	0.000583381190006616	0.000271702875862949	9.33871647533903e-05	0.000206116676734029	0.000433682237150445	0.00255183574568721	0.000125548571251629	4.90850545825807e-05	0
Actinomyces_johnsonii	0.0018012089200514	0.00587549184532629	0.00134123592907854	0.00814075532857869	0.00116678583566505	0.00353093844404289	0.00958239143215477	0.0048148639862199	0.00383059022521112	0.00339667593357136	0.00357146347475489	0.000368858087104859	0.00113643409479437	0.00133467787074057	0.00325653912862258	0.00120952762068755	0.00126841031836326	0.00132323074519606	0.00187254952890202	0.000758358410206029	0.000434753340588572	0.000625328397301298
Actinomyces_massiliensis	0.0010076372481442	0.00078236721967324	0.0002068640092228	0.00819885942887378	0.000442869937079405	0.00259814557708274	0.00379053519095673	0.000332247401764043	0.00526310433835825	0.00219721959929761	0.00160058898199717	0.000603651839996753	0.00181492865177994	0.000613869910545184	0.00233333365794848	0.00105306316044284	0.00118178717467016	0.0012485549132948	0.00338454467572558	0.000267987084824105	0.000196340218330323	0.000201783284752176
Actinomyces_meyeri	0.00408008988307738	0.00386827572569575	0.00334768161330492	0.00637908845792954	0.00638680126775891	0.00739187765552943	0.00731673294211392	0.00495715846771311	0.00494313472981789	0.00568115865670769	0.00501785731737377	0.00391322921486491	0.00843216973583591	0.00602448016731482	0.00186686169544542	0.00473694105426736	0.00284966940122525	0.00497984689892204	0.0070228861783965	0.00575102536024839	0.000870207896242609	0.00110481343037578
Actinomyces_odontolyticus	0.076715903787921	0.0504669843899112	0.0554025983742021	0.0461358918917582	0.0703721283795062	0.08311693748125	0.0419169114176576	0.078879482020854	0.0485856325731323	0.069998197110932	0.0431007991000216	0.0620576556351044	0.0909339191180161	0.0652003563994914	0.0595340928678482	0.0865445069710651	0.0447454942430413	0.0724149351663803	0.0730974482963255	0.115567741336163	0.0100399973073341	0.00468496834399855
Actinomyces_oris	0.00616508859562585	0.00542957118825246	0.00394844353987135	0.0156337117517397	0.00278057463725519	0.00450908025367501	0.00960341103580148	0.022594865824474	0.003755968337707	0.0380500149417519	0.00536425344034331	0.00237619973991519	0.00494344402419905	0.00261338391123869	0.0181067081394975	0.00363472675448064	0.00489652788143767	0.00622527730042181	0.00587672826174047	0.00245241962498698	0.0013309061942534	0.00139849801313389
