# Program:featureCounts v2.0.6; Command:"featureCounts" "-T4" "-t" "CDS" "-a" "data/ref/GCA_000007565.2_ASM756v2_genomic.gtf" "-o" "results/counts/counts-SRR7405887-bwa.txt" "results/alignment/bwa/SRR7405887.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	results/alignment/bwa/SRR7405887.sorted.bam
PP_0001	AE015451.2	150	1019	-	870	1135
PP_0002	AE015451.2	1032	1820	-	789	1343
PP_0003	AE015451.2	1842	2489	-	648	687
PP_0004	AE015451.2	2489	4381	-	1893	2772
PP_0005	AE015451.2	5015	6382	-	1368	1333
PP_0006	AE015451.2	6474	8153	-	1680	3492
PP_0007	AE015451.2	8159	8401	-	243	404
PP_0008	AE015451.2	8397	8798	-	402	1841
PP_0009	AE015451.2	8815	8946	-	132	1736
PP_0010	AE015451.2	9542	11059	+	1518	2410
PP_0011	AE015451.2	11103	12203	+	1101	1656
PP_0012	AE015451.2	12222	13322	+	1101	983
PP_0013	AE015451.2	13330	15747	+	2418	3186
PP_5421	AE015451.2	16589	17224	+	636	20
PP_0014	AE015451.2	17208	19163	+	1956	48
PP_0015	AE015451.2	19163	20119	+	957	84
PP_0016	AE015451.2	20198	22111	+	1914	331
PP_0017	AE015451.2	22171	22527	+	357	368
PP_0018	AE015451.2	23176	24015	+	840	284
PP_0019	AE015451.2	24000	24695	+	696	683
PP_0020	AE015451.2	24695	25567	+	873	854
PP_0021	AE015451.2	25881	26801	+	921	188
PP_0022	AE015451.2	26992	27153	-	162	180
PP_0023	AE015451.2	27602	27727	-	126	470
PP_0024	AE015451.2	27853	29547	-	1695	1141
PP_0025	AE015451.2	29993	30142	-	150	3981
PP_0026	AE015451.2	30431	31333	+	903	16317
PP_0027	AE015451.2	31404	31841	+	438	2830
PP_0028	AE015451.2	31880	32203	-	324	3739
PP_5422	AE015451.2	32402	32572	+	171	78
PP_0029	AE015451.2	32893	33564	+	672	2333
PP_0030	AE015451.2	33564	34979	+	1416	2840
PP_0031	AE015451.2	35043	35627	-	585	1437
PP_0032	AE015451.2	35894	36112	+	219	3278
PP_0033	AE015451.2	36201	37652	-	1452	3792
PP_0034	AE015451.2	37649	38629	-	981	3054
PP_0035	AE015451.2	38598	39014	-	417	818
PP_0036	AE015451.2	39272	40237	+	966	1875
PP_0037	AE015451.2	40469	41755	+	1287	691
PP_0039	AE015451.2	42057	43079	+	1023	211
PP_0040	AE015451.2	43210	43431	+	222	109
PP_0041	AE015451.2	43530	45524	-	1995	1388
PP_0042	AE015451.2	45730	46050	-	321	5339
PP_0043	AE015451.2	46216	49374	-	3159	8994
PP_0044	AE015451.2	49402	50649	-	1248	4381
PP_0045	AE015451.2	50721	51989	-	1269	3242
PP_0046	AE015451.2	52394	53734	+	1341	5294
PP_0047	AE015451.2	54227	54898	+	672	755
PP_0048	AE015451.2	55019	55339	+	321	156
PP_5423	AE015451.2	55447	55971	-	525	65
PP_0049	AE015451.2	56164	57627	-	1464	1229
PP_5424	AE015451.2	57643	58089	-	447	642
PP_0050	AE015451.2	58780	59184	-	405	795
PP_0051	AE015451.2	59319	60608	-	1290	458
PP_0052	AE015451.2	60831	61712	+	882	508
PP_0053	AE015451.2	61756	63021	+	1266	545
PP_0054	AE015451.2	62982	63836	+	855	469
PP_0055	AE015451.2	63831	64715	-	885	197
PP_0056	AE015451.2	64943	66592	+	1650	637
PP_0057	AE015451.2	66693	68309	+	1617	109
PP_0058	AE015451.2	68490	69272	-	783	272
PP_0059	AE015451.2	69322	69846	-	525	304
PP_0060	AE015451.2	69853	71904	-	2052	2550
PP_0061	AE015451.2	71904	72848	-	945	1321
PP_0062	AE015451.2	72932	73480	+	549	477
PP_0063	AE015451.2	73525	74409	+	885	804
PP_0064	AE015451.2	74513	74824	-	312	118
PP_0065	AE015451.2	74839	76209	-	1371	482
PP_0066	AE015451.2	76236	77543	-	1308	662
PP_0067	AE015451.2	77543	78472	-	930	534
